Chick.code.1,Parent.code,Date,SexParentSel,SexParentMol,SexChickSel,SexChickMol,ChickAge,Location,Latitude,Longitude,RingLocation,RingLatitude,RingLongitude,rnd
W[51]/aB[51],aG[X3]/G[X3],07/07/2006,m,u,f,f,43,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.680909
W[58]/aB[58],G[J9]/G[J9]a,29/06/2006,m,u,f,f,49,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.546541
W[62]/aB[62],O[GG]/aO[GG],27/06/2006,u,u,f,f,47,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.193152
W[80]/aB[80],W[E]/O[T]a,13/06/2006,f,u,m,m,42,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.539718
W[85]/aB[85],R[CS]/aY[CS],13/07/2006,f,u,f,f,53,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.098677
W[91]/aB[91],aG[DR]/G[DR],27/06/2006,m,u,m,m,53,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.62819
W[NA1V]/a,,27/08/2019,NA,NA,u,u,86,"Onderdijk, Vooroever",52.76667,5.11667,"Den Oever, De Banaan",52.9454,5.03975,0.234285
W[NA2B]/a,,11/07/2019,NA,NA,u,u,85,"Balgzand, Balgzandpolder",52.91486,4.80016,"Onderdijk, Vooroever",52.76667,5.11667,0.096994
W[NA2B]/a,aYfR/LYG,05/07/2019,u,u,u,u,79,"Balgzand, Balgzandpolder",52.91486,4.80016,"Onderdijk, Vooroever",52.76667,5.11667,0.659778
W[NA35]/a,,07/09/2019,NA,NA,m,m,111,"Texel, Utopia",53.11667,4.88333,"Texel, de Schorren",53.13333,4.9,0.042173
W[NA4C]/a,YfLB/RaG,30/07/2019,m,m,m,m,62,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.963214
W[NA4C]/a,aYfY/RGY,07/08/2019,f,f,m,m,70,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.610408
W[NA4C]/a,aYfY/RGY,30/07/2019,f,f,m,m,62,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.638984
W[NA6X]/a,GRa/YYfL,30/07/2019,u,u,m,m,81,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.080144
W[NA74]/a,,01/08/2019,NA,NA,m,m,78,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.435833
W[NACB]/a,GaB/YYfB,30/07/2019,u,u,m,m,47,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.344284
W[NACB]/a,GYfR/YaY,30/07/2019,m,m,m,m,47,"Schiermonnikoog, Westerplas",53.4722,6.1513,"Schiermonnikoog, Oosterkwelder",53.48333,6.25,0.985814
